brow_lower_l,tongue_Scale_X,tongue_Scale__X,tongue_Scale_Y,tongue_Scale__Y,tongue_Scale_Z,tongue_Scale__Z,nose_out_l,nose_out_r,tongue_u,tongue_u_u,cheek_suck_r,brow_raise_d,mouth_stretch_u,tongue_u_d,tooth_d_d,tongue_d,tooth_r,tooth_d_u,cheek_UP,eye_blink1_l,eye_blink1_r,eye_blink2_l,eye_blink2_r,eye_lidTight_l,eye_lidTight_r,eye_shutTight_l,eye_shutTight_r,brow_lower_r,eye_upperLidRaise_l,eye_upperLidRaise_r,eye_downLidRaise_l,eye_downLidRaise_r,jaw_sideways_l,jaw_sideways_r,jaw_thrust_c,mouth_chew_c,mouth_chinRaise_d,mouth_chinRaise_u,brow_raise_c,mouth_dimple_l,mouth_dimple_r,mouth_funnel_dl,mouth_funnel_dr,mouth_funnel_ul,mouth_funnel_ur,mouth_lipCornerDepressFix_l,mouth_lipCornerDepressFix_r,mouth_lipCornerDepress_l,mouth_lipCornerDepress_r,brow_raise_l,mouth_lipCornerPullOpen_l,mouth_lipCornerPullOpen_r,mouth_lipCornerPull_l,mouth_lipCornerPull_r,mouth_lipStretchOpen_l,mouth_lipStretchOpen_r,mouth_lipStretch_l,mouth_lipStretch_r,mouth_lowerLipDepress_l,mouth_lowerLipDepress_r,brow_raise_r,mouth_lowerLipProtrude_c,mouth_oh_c,mouth_oo_c,mouth_pressFix_c,mouth_press_l,mouth_press_r,mouth_pucker_l,mouth_pucker_r,mouth_screamFix_c,mouth_sideways_l,cheek_puff_l,mouth_sideways_r,mouth_stretch_c,mouth_suck_dl,mouth_suck_dr,mouth_suck_ul,mouth_suck_ur,mouth_upperLipRaise_l,mouth_upperLipRaise_r,nose_wrinkle_l,nose_wrinkle_r,cheek_puff_r,tooth_l,eye_lookDown1_l,eye_lookDown2_l,eye_lookLeft_l,eye_lookRight_l,eye_lookUp_l,eye_lookDown1_r,eye_lookDown2_r,eye_lookLeft_r,cheek_raise_l,eye_lookRight_r,eye_lookUp_r,tongue_Rot_1X,tongue_Rot__1X,tongue_Rot_2X,tongue_Rot__2X,tongue_Rot_3X,tongue_Rot__3X,tongue_Rot_1Y,tongue_Rot__1Y,cheek_raise_r,tongue_Rot_2Y,tongue_Rot__2Y,tongue_Rot_3Y,tongue_Rot__3Y,tongue_Rot_1Z,tongue_Rot__1Z,tongue_Rot_2Z,tongue_Rot__2Z,tongue_Rot_3Z,tongue_Rot__3Z,cheek_suck_l
0,0,0,0,0,0,0,0,0,0,1.72E-05,0,0,1.77E-06,5.86E-07,0.000465295,0,0,1.13E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000157212,0,0,0,0,0.000189044,0,-5.96E-05,-5.96E-05,0.001315236,0.001315236,0.000923324,0.000923324,0,0,0,0,0,-5.96E-05,-5.96E-05,0.001658563,0.001658563,0,0,0.001301444,0.001301444,0.00248863,0.002479702,0,0,0.003476381,0.000601202,0,0.001132934,0.001132935,0.001670215,0.001670368,0,0,0,0,0.006930873,0.000525939,0.000525939,0.000587939,0.000587939,0.000862744,0.000823079,-3.31E-05,-3.31E-05,0,-9.87E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1.72E-05,0,0,1.74E-06,5.86E-07,0.000466669,0,0,1.13E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000157118,0,0,0,0,0.000189486,0,-5.96E-05,-5.96E-05,0.001319781,0.001319781,0.000925489,0.000925489,0,0,0,0,0,-5.96E-05,-5.96E-05,0.001664364,0.001664364,0,0,0.001300947,0.001300946,0.002490632,0.002481705,0,0,0.003472302,0.000603808,0,0.001132623,0.001132624,0.001673967,0.001674118,0,0,0,0,0.006936654,0.000527555,0.000527555,0.000588907,0.000588907,0.000868798,0.000829346,-3.30E-05,-3.30E-05,0,-9.87E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1.71E-05,0,0,1.52E-06,6.03E-07,0.000469559,0,0,1.11E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000156038,0,0,0,0,0.000195989,0,-5.97E-05,-5.97E-05,0.001366571,0.001366567,0.000951365,0.000951366,0,0,0,0,0,-5.97E-05,-5.97E-05,0.001746146,0.001746146,0,0,0.001291668,0.001291667,0.002514593,0.002505604,0,0,0.003419217,0.00063437,0,0.001134249,0.001134249,0.001722308,0.001722464,0,0,0,0,0.006002605,0.000549471,0.000549471,0.000600716,0.000600716,0.000943955,0.000907305,-3.24E-05,-3.24E-05,0,-9.85E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1.71E-05,0,0,6.34E-07,6.19E-07,0.000504103,0,0,1.11E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000153192,0,0,0,0,0.000210108,0,-5.97E-05,-5.97E-05,0.001500823,0.001500826,0.001017181,0.001017183,0,0,0,0,0,-5.97E-05,-5.97E-05,0.00192937,0.00192937,0,0,0.001274731,0.001274731,0.002575511,0.002566498,0,0,0.003292818,0.00071332,0,0.001127663,0.001127664,0.001838315,0.001838477,0,0,0,0,0.005637765,0.000600031,0.000600032,0.000630298,0.000630298,0.001129686,0.001099657,-3.02E-05,-3.02E-05,0,-9.82E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1.69E-05,0,0,2.45E-06,6.24E-07,0.000416252,0,0,1.07E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00015803,0,0,0,0,0.000189371,0,-5.96E-05,-5.96E-05,0.001260746,0.001260746,0.000907879,0.000907879,0,0,0,0,0,-5.96E-05,-5.96E-05,0.001652824,0.001652822,0,0,0.001295394,0.001295394,0.002474362,0.002465237,0,0,0.003493052,0.000580835,0,0.001150615,0.001150616,0.00165342,0.001653576,0,0,0,0,0.003990769,0.000521864,0.000521865,0.000581669,0.000581669,0.000827285,0.000786823,-3.45E-05,-3.45E-05,0,-9.88E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1.69E-05,0,0,4.03E-06,6.23E-07,0.000342421,0,0,1.03E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000162419,0,0,0,0,0.000169904,0,-5.96E-05,-5.96E-05,0.001045365,0.001045361,0.000808215,0.000808217,0,0,0,0,0,-5.96E-05,-5.96E-05,0.001394944,0.001394943,0,0,0.001315772,0.001315772,0.002382128,0.002372934,0,0,0.003677618,0.000460312,0,0.001169069,0.00116907,0.001483226,0.001483383,0,0,0,0,0.002953053,0.000449394,0.000449394,0.000537226,0.000537226,0.000550299,0.000500207,-3.83E-05,-3.83E-05,0,-9.94E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1.64E-05,0,0,1.96E-06,6.61E-07,0.000442361,0,0,1.01E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000154857,0,0,0,0,0.000205279,0,-5.97E-05,-5.97E-05,0.001383971,0.001383971,0.000960987,0.000960985,0,0,0,0,0,-5.97E-05,-5.97E-05,0.001820256,0.001820256,0,0,0.00127145,0.001271449,0.002531527,0.002522347,0,0,0.006180979,0.000638509,0,0.001128377,0.001128377,0.001753964,0.001754126,0,0,0,0,0.004582673,0.000569393,0.000569395,0.000603368,0.000603367,0.001011665,0.000978338,-3.15E-05,-3.15E-05,0,-9.74E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2.25E-05,0,0,1.58E-05,-2.73E-07,0.00151576,0,0,2.85E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000158604,0,0,0,0,4.32E-05,0,-5.62E-05,-5.62E-05,0.002270646,0.002270646,0.0012068,0.0012068,0,0,0,0,0,-5.62E-05,-5.62E-05,0.001761503,0.001761503,0,0,0.001085907,0.001085905,0.002248354,0.002237352,0,0,0.00284804,0.001510507,0,0.000812713,0.000812714,0.039828967,0.039829087,0,0,0,0,0.015003175,0.000426447,0.000426448,0.000453165,0.000453164,0.00116242,0.00110468,-4.84E-05,-4.84E-05,0,-0.000106856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6.51E-06,0,0,8.37E-06,1.23E-06,0.000527137,0,0,-4.92E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000139233,0,0,0,0,0.000284238,0,-6.05E-05,-6.05E-05,0.001611046,0.001611046,0.001228174,0.001228176,0,0,0,0,0,-6.05E-05,-6.05E-05,0.002218034,0.002218034,0,0,0.001145161,0.001145161,0.002745111,0.002735218,0,0,0.056345984,0.000787443,0,0.000818714,0.000818714,0.001781575,0.001781752,0,0,0,0,0.015735894,0.000762371,0.000762372,0.000487911,0.000487911,0.001450608,0.001438529,-1.58E-05,-1.58E-05,0,-8.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,-1.76E-05,0,0,7.82E-05,1.14E-06,0.002379498,0,0,-1.50E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.52E-05,0,0,0,0,2.07E-05,0,-5.89E-05,-5.89E-05,0.00293207,0.002932068,0.001709606,0.001709606,0,0,0,0,0,-5.89E-05,-5.89E-05,0.001684355,0.001684355,0,0,0.000639339,0.000639339,0.001814671,0.001797309,0,0,0.223708257,0.013040227,0,-0.000644808,-0.000644808,0.074860379,0.074860536,0,0,0,0,0.058414645,0.000639861,0.000639861,-0.000427638,-0.000427637,0.001454137,0.001391815,-9.27E-06,-9.27E-06,0,-4.01E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,-2.22E-05,0,0,0.000125358,1.56E-07,0.003756985,0,0,-6.66E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48E-05,0,0,0,0,-0.000287074,0,-5.52E-05,-5.52E-05,0.004384447,0.004384447,0.002200864,0.002200866,0,0,0,0,0,-5.52E-05,-5.52E-05,0.001488437,0.001488436,0,0,0.000339803,0.000339802,0.00081333,0.000790453,0,0,0.284962416,0.021193752,0,-0.001497382,-0.00149738,0.138122573,0.138122693,0,0,0,0,0.075113222,0.000330214,0.000330215,-0.00085347,-0.000853469,0.001532629,0.001432804,-2.61E-05,-2.61E-05,0,-3.34E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
