brow_lower_l,tongue_Scale_X,tongue_Scale__X,tongue_Scale_Y,tongue_Scale__Y,tongue_Scale_Z,tongue_Scale__Z,nose_out_l,nose_out_r,tongue_u,tongue_u_u,cheek_suck_r,brow_raise_d,mouth_stretch_u,tongue_u_d,tooth_d_d,tongue_d,tooth_r,tooth_d_u,cheek_UP,eye_blink1_l,eye_blink1_r,eye_blink2_l,eye_blink2_r,eye_lidTight_l,eye_lidTight_r,eye_shutTight_l,eye_shutTight_r,brow_lower_r,eye_upperLidRaise_l,eye_upperLidRaise_r,eye_downLidRaise_l,eye_downLidRaise_r,jaw_sideways_l,jaw_sideways_r,jaw_thrust_c,mouth_chew_c,mouth_chinRaise_d,mouth_chinRaise_u,brow_raise_c,mouth_dimple_l,mouth_dimple_r,mouth_funnel_dl,mouth_funnel_dr,mouth_funnel_ul,mouth_funnel_ur,mouth_lipCornerDepressFix_l,mouth_lipCornerDepressFix_r,mouth_lipCornerDepress_l,mouth_lipCornerDepress_r,brow_raise_l,mouth_lipCornerPullOpen_l,mouth_lipCornerPullOpen_r,mouth_lipCornerPull_l,mouth_lipCornerPull_r,mouth_lipStretchOpen_l,mouth_lipStretchOpen_r,mouth_lipStretch_l,mouth_lipStretch_r,mouth_lowerLipDepress_l,mouth_lowerLipDepress_r,brow_raise_r,mouth_lowerLipProtrude_c,mouth_oh_c,mouth_oo_c,mouth_pressFix_c,mouth_press_l,mouth_press_r,mouth_pucker_l,mouth_pucker_r,mouth_screamFix_c,mouth_sideways_l,cheek_puff_l,mouth_sideways_r,mouth_stretch_c,mouth_suck_dl,mouth_suck_dr,mouth_suck_ul,mouth_suck_ur,mouth_upperLipRaise_l,mouth_upperLipRaise_r,nose_wrinkle_l,nose_wrinkle_r,cheek_puff_r,tooth_l,eye_lookDown1_l,eye_lookDown2_l,eye_lookLeft_l,eye_lookRight_l,eye_lookUp_l,eye_lookDown1_r,eye_lookDown2_r,eye_lookLeft_r,cheek_raise_l,eye_lookRight_r,eye_lookUp_r,tongue_Rot_1X,tongue_Rot__1X,tongue_Rot_2X,tongue_Rot__2X,tongue_Rot_3X,tongue_Rot__3X,tongue_Rot_1Y,tongue_Rot__1Y,cheek_raise_r,tongue_Rot_2Y,tongue_Rot__2Y,tongue_Rot_3Y,tongue_Rot__3Y,tongue_Rot_1Z,tongue_Rot__1Z,tongue_Rot_2Z,tongue_Rot__2Z,tongue_Rot_3Z,tongue_Rot__3Z,cheek_suck_l
0,0,0,0,0,0,0,0,0,0,1.43E-05,0,0,1.99E-05,-1.15E-05,7.75E-05,0,0,-2.91E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000194181,0,0,0,0,0.000803227,0,-2.44E-05,-2.17E-05,0.001425039,0.001425037,0.000929294,0.000929294,0,0,0,0,0,-3.02E-06,-2.43E-05,0.001874487,0.001874486,0,0,-7.68E-05,-7.68E-05,0.001908453,0.001899088,0,0,0.006351486,0.001060915,0,-0.000273792,-0.000273791,0.000997804,0.00099773,0,0,0,0,0.002093658,0.001084445,0.001084445,-0.000177896,-0.000177895,-0.000117266,-0.000157053,0.000194377,0.000194377,0,-6.14E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1.42E-05,0,0,1.99E-05,-1.16E-05,9.31E-05,0,0,-2.91E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000195359,0,0,0,0,0.000802913,0,-2.47E-05,-2.21E-05,0.001403026,0.001403023,0.000924425,0.000924425,0,0,0,0,0,-3.42E-06,-2.47E-05,0.001882209,0.001882208,0,0,-6.41E-05,-6.41E-05,0.001900198,0.001890641,0,0,0.006319866,0.00104417,0,-0.000269782,-0.000269781,0.000977777,0.000977701,0,0,0,0,0.001544721,0.001077721,0.001077721,-0.000182425,-0.000182424,-0.000120014,-0.000160098,0.000194792,0.000194792,0,-6.01E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1.57E-05,0,0,1.86E-05,-1.12E-05,-0.000165112,0,0,-2.82E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00018881,0,0,0,0,0.00079795,0,-2.28E-05,-2.02E-05,0.00149807,0.00149807,0.000909995,0.000909995,0,0,0,0,0,-1.23E-06,-2.28E-05,0.001793582,0.001793581,0,0,-0.000165701,-0.000165701,0.001857892,0.001848545,0,0,0.006545931,0.001151863,0,-0.00035813,-0.000358129,0.001143279,0.001143226,0,0,0,0,0.003186405,0.0011004,0.001100401,-0.000191531,-0.00019153,-0.000146578,-0.000186672,0.00019171,0.000191711,0,-6.41E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1.48E-05,0,0,1.90E-05,-1.16E-05,-3.61E-05,0,0,-2.85E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000193426,0,0,0,0,0.000799371,0,-2.42E-05,-2.16E-05,0.001422606,0.001422606,0.000907326,0.000907326,0,0,0,0,0,-2.78E-06,-2.42E-05,0.001841914,0.001841913,0,0,-0.000103591,-0.000103591,0.00186041,0.001850653,0,0,0.006402127,0.001080462,0,-0.000316296,-0.000316296,0.001043374,0.001043309,0,0,0,0,0.001592524,0.001079861,0.001079862,-0.000195727,-0.000195725,-0.000140805,-0.000181405,0.000193642,0.000193642,0,-6.02E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1.38E-05,0,0,2.17E-05,-1.14E-05,0.000262998,0,0,-3.03E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00019389,0,0,0,0,0.000810716,0,-2.41E-05,-2.14E-05,0.001460731,0.001460733,0.000976348,0.000976348,0,0,0,0,0,-2.91E-06,-2.41E-05,0.00192304,0.001923039,0,0,-4.61E-05,-4.61E-05,0.002007959,0.001999574,0,0,0.006303854,0.001048978,0,-0.00020182,-0.00020182,0.000942968,0.000942884,0,0,0,0,0.003788777,0.001102367,0.001102366,-0.000138886,-0.000138885,-7.04E-05,-0.000108234,0.000195131,0.000195131,0,-6.56E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1.44E-05,0,0,2.38E-05,-1.06E-05,0.000331615,0,0,-3.16E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000185845,0,0,0,0,0.000819724,0,-2.14E-05,-1.88E-05,0.001639161,0.001639161,0.001052061,0.001052059,0,0,0,0,0,-2.06E-07,-2.14E-05,0.00191699,0.001916989,0,0,-0.000101741,-0.000101741,0.002154607,0.002148382,0,0,0.006468598,0.001148525,0,-0.000161672,-0.000161672,0.001024459,0.001024377,0,0,0,0,0.008983642,0.001163365,0.001163365,-7.29E-05,-7.29E-05,-8.77E-06,-4.29E-05,0.000193091,0.000193091,0,-7.85E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1.39E-05,0,0,2.20E-05,-1.12E-05,0.000264439,0,0,-3.05E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000192424,0,0,0,0,0.000811925,0,-2.36E-05,-2.10E-05,0.001491487,0.001491487,0.000987468,0.000987468,0,0,0,0,0,-2.42E-06,-2.36E-05,0.001918987,0.001918986,0,0,-5.82E-05,-5.82E-05,0.002028992,0.002020946,0,0,0.006337125,0.001068061,0,-0.000198767,-0.000198766,0.000961315,0.000961231,0,0,0,0,0.004644513,0.001112535,0.001112535,-0.000129065,-0.000129063,-6.18E-05,-9.91E-05,0.000194709,0.000194709,0,-6.77E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1.28E-05,0,0,2.64E-05,-1.07E-05,0.000693246,0,0,-3.71E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000183721,0,0,0,0,0.000825225,0,-2.25E-05,-1.98E-05,0.001654226,0.001654226,0.001132725,0.001132723,0,0,0,0,0,-1.57E-06,-2.24E-05,0.001986984,0.001986983,0,0,1.95E-05,1.95E-05,0.003420137,0.003414648,0,0,0.006340235,0.001106277,0,-1.30E-05,-1.30E-05,0.000879759,0.000879655,0,0,0,0,0.00937289,0.001167779,0.00116778,-2.16E-05,-2.16E-05,0.000172805,0.000137351,0.000194643,0.000194643,0,-8.34E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.10E-05,0,0,1.24E-05,6.42E-06,0.000287077,0,0,-3.62E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000171799,0,0,0,0,0.000745689,0,-8.46E-06,-6.15E-06,0.035871562,0.035871562,0.036666647,0.036666647,0,0,0,0,0,1.58E-05,-8.42E-06,0.002198403,0.002198402,0,0,0.000306034,0.000306034,0.009198397,0.009188676,0,0,0.006407417,0.000880462,0,-0.000153035,-0.000153035,0.000757512,0.000757406,0,0,0,0,0.007882744,0.001323813,0.001323814,-0.000572139,-0.000572138,0.000134327,0.000400896,0.000258415,0.000258415,0,-4.28E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4.86E-05,0,0,2.05E-05,3.12E-05,0.002301469,0,0,-1.81E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.65E-06,0,0,0,0,0.000479623,0,1.05E-05,1.23E-05,0.083579764,0.083579764,0.085839055,0.085839055,0,0,0,0,0,3.73E-05,1.06E-05,0.004146721,0.004146719,0,0,0.00127305,0.00127305,0.049147155,0.049145699,0,0,0.006862991,0.000267045,0,0.000549908,0.000549907,-0.000319198,-0.000319412,0,0,0,0,0.031893164,0.00144003,0.00144003,-0.000671613,-0.000671612,0.009736349,0.010457271,0.000366334,0.000366334,0,-7.10E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
